Summary,Issue Type,Description,Priority,Labels,Epic Name,Epic Link,Story Points,Sprint
"EPIC-01 Discovery sin agente",Epic,"Descubrimiento de activos por red y onboarding de detectados.",High,"fase2,discovery","EPIC-01 Discovery sin agente",,,
"EPIC-02 Integraciones MDM/Cloud",Epic,"Integraciones con Intune, Azure y framework extensible de conectores.",High,"fase2,integraciones","EPIC-02 Integraciones MDM/Cloud",,,
"EPIC-03 Software y licencias",Epic,"Inventario de software y compliance de licenciamiento.",Medium,"fase2,licencias","EPIC-03 Software y licencias",,,
"EPIC-04 Lifecycle automation",Epic,"Automatizacion del ciclo de vida de activos.",Medium,"fase2,lifecycle","EPIC-04 Lifecycle automation",,,
"EPIC-05 Auditoria y governance",Epic,"Trazabilidad, calidad de datos y politicas por tenant.",Medium,"fase2,governance","EPIC-05 Auditoria y governance",,,
"EPIC-06 Dashboards avanzados",Epic,"Analitica, busqueda avanzada y reportes programados.",Medium,"fase2,analytics","EPIC-06 Dashboards avanzados",,,
"EPIC-07 SaaS multi-tenant",Epic,"Aislamiento multi-tenant, RBAC y provisioning SaaS.",Highest,"fase2,saas","EPIC-07 SaaS multi-tenant",,,
"E07-H01 Aislamiento multi-tenant",Story,"Implementar tenantId obligatorio en entidades y filtros API.",Highest,"fase2,saas,backend",,"EPIC-07 SaaS multi-tenant",8,"Fase2-Sprint1"
"E07-H02 RBAC por tenant",Story,"Roles Owner/Admin/Analyst/ReadOnly con enforcement en endpoints.",Highest,"fase2,saas,security",,"EPIC-07 SaaS multi-tenant",5,"Fase2-Sprint1"
"E07-H03 Provisioning tenant",Story,"Alta automatica de tenant y usuario owner con configuracion inicial.",High,"fase2,saas",,"EPIC-07 SaaS multi-tenant",5,"Fase2-Sprint2"
"E01-H01 Scan por CIDR",Story,"Escaneo por rango/subred para deteccion inicial de activos.",High,"fase2,discovery",,"EPIC-01 Discovery sin agente",8,"Fase2-Sprint1"
"E01-H02 Lista de detectados",Story,"Vista de activos descubiertos con filtros y accion de onboarding.",High,"fase2,discovery,frontend",,"EPIC-01 Discovery sin agente",5,"Fase2-Sprint1"
"E01-H03 Scheduler discovery",Story,"Programacion periodica de escaneos y registro de ejecuciones.",High,"fase2,discovery",,"EPIC-01 Discovery sin agente",3,"Fase2-Sprint2"
"E02-H01 Conector Intune",Story,"Sincronizacion incremental de dispositivos desde Intune.",High,"fase2,integraciones",,"EPIC-02 Integraciones MDM/Cloud",8,"Fase2-Sprint3"
"E02-H02 Conector Azure AD",Story,"Importacion de metadatos de equipos/usuarios desde Entra ID.",High,"fase2,integraciones",,"EPIC-02 Integraciones MDM/Cloud",5,"Fase2-Sprint3"
